epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
42,1579.64,0.44018,0.72694,0.36583,0.63851,0.60967,0.63773,0.31912,0.50955,0.78968,0.56512,0.0007294,0.0007294,0.0007294
43,1616.6,0.4405,0.71911,0.36091,0.64562,0.62205,0.64633,0.3579,0.47677,0.73471,0.55607,0.0007228,0.0007228,0.0007228
44,1653.27,0.43369,0.71154,0.35501,0.5642,0.61108,0.63131,0.35972,0.44625,0.81221,0.48781,0.0007162,0.0007162,0.0007162
45,1690.2,0.42531,0.7049,0.34615,0.65625,0.64389,0.67133,0.35246,0.48955,0.73605,0.56211,0.0007096,0.0007096,0.0007096
46,1726.93,0.43064,0.67879,0.34947,0.66287,0.62637,0.65165,0.34468,0.48905,0.76369,0.55526,0.000703,0.000703,0.000703
47,1763.6,0.42014,0.69416,0.33995,0.65796,0.59406,0.64741,0.35711,0.46792,0.7723,0.54389,0.0006964,0.0006964,0.0006964
48,1800.57,0.41381,0.69407,0.34201,0.62469,0.64708,0.65995,0.35359,0.46546,0.78112,0.5481,0.0006898,0.0006898,0.0006898
49,1837.26,0.42592,0.66046,0.35037,0.67019,0.61594,0.66886,0.36577,0.474,0.73324,0.5289,0.0006832,0.0006832,0.0006832
50,1874.17,0.42192,0.65525,0.34771,0.65459,0.60625,0.62997,0.30883,0.52087,0.77381,0.60183,0.0006766,0.0006766,0.0006766
51,1910.97,0.42319,0.66582,0.35172,0.63015,0.63709,0.66055,0.36668,0.46498,0.75236,0.54301,0.00067,0.00067,0.00067
52,1947.77,0.42195,0.66523,0.34809,0.68558,0.60659,0.6652,0.35888,0.47797,0.76799,0.54757,0.0006634,0.0006634,0.0006634
53,1984.77,0.41797,0.6511,0.34503,0.61931,0.66464,0.67782,0.35113,0.49951,0.72444,0.58426,0.0006568,0.0006568,0.0006568
54,2021.47,0.40715,0.66816,0.33771,0.60494,0.636,0.64454,0.34052,0.49411,0.78037,0.56394,0.0006502,0.0006502,0.0006502
55,2058.4,0.41463,0.67144,0.33615,0.61895,0.68842,0.68,0.37125,0.46733,0.72497,0.53158,0.0006436,0.0006436,0.0006436
56,2095.92,0.40695,0.65358,0.33543,0.68239,0.63242,0.67166,0.35967,0.48459,0.74504,0.55717,0.000637,0.000637,0.000637
57,2132.71,0.4053,0.64454,0.32715,0.65387,0.65503,0.68537,0.36284,0.48987,0.72613,0.57497,0.0006304,0.0006304,0.0006304
58,2169.68,0.41845,0.64795,0.33899,0.66868,0.64149,0.67506,0.3702,0.48412,0.73118,0.55835,0.0006238,0.0006238,0.0006238
59,2206.59,0.41392,0.66091,0.33508,0.64022,0.63607,0.64668,0.3247,0.49949,0.76989,0.57351,0.0006172,0.0006172,0.0006172
60,2243.56,0.40599,0.65374,0.33951,0.67406,0.6836,0.69154,0.36825,0.49868,0.71381,0.58804,0.0006106,0.0006106,0.0006106
61,2280.29,0.40629,0.65191,0.33367,0.64653,0.67946,0.69354,0.37936,0.48406,0.71801,0.56895,0.000604,0.000604,0.000604
62,2317.75,0.40462,0.63758,0.333,0.63757,0.68448,0.68197,0.36812,0.46868,0.74118,0.55342,0.0005974,0.0005974,0.0005974
63,2354.78,0.40554,0.62639,0.33199,0.64917,0.63297,0.65816,0.35216,0.4901,0.70833,0.57081,0.0005908,0.0005908,0.0005908
64,2391.6,0.39231,0.62764,0.32476,0.59064,0.67807,0.66823,0.33855,0.51612,0.73983,0.5803,0.0005842,0.0005842,0.0005842
65,2428.47,0.40123,0.61971,0.3296,0.67133,0.65265,0.68658,0.36294,0.49603,0.70847,0.59474,0.0005776,0.0005776,0.0005776
66,2465.23,0.39594,0.61634,0.31609,0.69421,0.66754,0.70092,0.38109,0.47992,0.73209,0.56392,0.000571,0.000571,0.000571
67,2502.81,0.39463,0.62703,0.32282,0.65575,0.65573,0.68339,0.38152,0.47161,0.70922,0.5413,0.0005644,0.0005644,0.0005644
68,2540.76,0.39838,0.61848,0.32326,0.65336,0.58384,0.615,0.30909,0.51355,0.79825,0.63164,0.0005578,0.0005578,0.0005578
69,2577.58,0.39789,0.62543,0.32629,0.61155,0.60474,0.63259,0.32317,0.50213,0.75837,0.59875,0.0005512,0.0005512,0.0005512
70,2614.56,0.39551,0.63596,0.32536,0.65178,0.67195,0.681,0.35968,0.48947,0.7098,0.56104,0.0005446,0.0005446,0.0005446
71,2651.21,0.39684,0.62705,0.32287,0.64776,0.67895,0.68027,0.37002,0.49491,0.70733,0.55697,0.000538,0.000538,0.000538
72,2687.97,0.39198,0.60484,0.33216,0.70413,0.62752,0.67762,0.35425,0.50139,0.70939,0.6159,0.0005314,0.0005314,0.0005314
73,2724.92,0.39046,0.61925,0.31849,0.62092,0.66514,0.67396,0.36457,0.49829,0.70029,0.57656,0.0005248,0.0005248,0.0005248
74,2761.62,0.39038,0.60165,0.32295,0.62614,0.64432,0.65297,0.36461,0.49534,0.7322,0.56417,0.0005182,0.0005182,0.0005182
75,2798.64,0.39745,0.59648,0.32892,0.68955,0.66068,0.67939,0.36123,0.5067,0.69645,0.61606,0.0005116,0.0005116,0.0005116
76,2835.42,0.39456,0.61736,0.32808,0.59863,0.63848,0.64532,0.3437,0.49938,0.74573,0.58831,0.000505,0.000505,0.000505
77,2872.14,0.40059,0.62635,0.33523,0.62871,0.57585,0.60248,0.30423,0.52057,0.78972,0.63941,0.0004984,0.0004984,0.0004984
78,2909.31,0.39467,0.64665,0.33143,0.6839,0.64886,0.68527,0.36083,0.47512,0.72836,0.57447,0.0004918,0.0004918,0.0004918
79,2946.06,0.38651,0.63563,0.31573,0.65481,0.63386,0.67144,0.36862,0.46109,0.7554,0.53045,0.0004852,0.0004852,0.0004852
80,2983.22,0.38574,0.60359,0.31786,0.6656,0.62571,0.66912,0.36683,0.49186,0.72524,0.57687,0.0004786,0.0004786,0.0004786
81,3020.01,0.38577,0.61031,0.31173,0.68443,0.64889,0.68561,0.37186,0.46632,0.74766,0.53992,0.000472,0.000472,0.000472
82,3056.79,0.3901,0.58691,0.31492,0.66815,0.62542,0.66723,0.35939,0.49182,0.71455,0.56328,0.0004654,0.0004654,0.0004654
83,3093.73,0.37463,0.60614,0.30689,0.6816,0.63381,0.67586,0.36829,0.48618,0.73304,0.57715,0.0004588,0.0004588,0.0004588
84,3130.53,0.37299,0.60053,0.30553,0.64334,0.65933,0.67517,0.36566,0.50111,0.72607,0.59346,0.0004522,0.0004522,0.0004522
85,3167.48,0.37993,0.58509,0.31188,0.68176,0.63326,0.68528,0.3762,0.47147,0.72947,0.56327,0.0004456,0.0004456,0.0004456
86,3204.45,0.37477,0.58421,0.3092,0.70363,0.6818,0.70697,0.37012,0.50281,0.68822,0.61601,0.000439,0.000439,0.000439
87,3241.16,0.37667,0.59471,0.30194,0.68595,0.66645,0.68849,0.36806,0.508,0.68526,0.60529,0.0004324,0.0004324,0.0004324
88,3278.25,0.37848,0.57109,0.31594,0.70974,0.65595,0.68755,0.37619,0.50542,0.69543,0.58343,0.0004258,0.0004258,0.0004258
89,3315,0.37303,0.57599,0.30711,0.73709,0.60224,0.68446,0.37953,0.49542,0.68994,0.57416,0.0004192,0.0004192,0.0004192
90,3351.95,0.37743,0.57062,0.31235,0.68878,0.6539,0.69535,0.37802,0.51096,0.67021,0.60699,0.0004126,0.0004126,0.0004126
91,3388.7,0.37302,0.55699,0.3015,0.67051,0.66035,0.67271,0.3588,0.50783,0.70619,0.6086,0.000406,0.000406,0.000406
92,3425.36,0.36379,0.55835,0.29584,0.71382,0.68193,0.70304,0.37938,0.49084,0.69653,0.58304,0.0003994,0.0003994,0.0003994
93,3462.97,0.36208,0.55117,0.29364,0.71957,0.6592,0.69846,0.37778,0.50576,0.67876,0.60007,0.0003928,0.0003928,0.0003928
94,3499.88,0.35676,0.56222,0.29513,0.6804,0.70684,0.70073,0.37117,0.50911,0.70529,0.62949,0.0003862,0.0003862,0.0003862
95,3536.85,0.36284,0.57132,0.29116,0.7034,0.62235,0.67642,0.37021,0.49574,0.72354,0.59064,0.0003796,0.0003796,0.0003796
96,3573.72,0.35729,0.54879,0.28771,0.68547,0.64882,0.68421,0.36215,0.51024,0.68947,0.61997,0.000373,0.000373,0.000373
97,3610.44,0.35786,0.5643,0.29353,0.67423,0.67182,0.68027,0.36225,0.50925,0.73049,0.59411,0.0003664,0.0003664,0.0003664
98,3647.38,0.36034,0.5618,0.28785,0.74099,0.64715,0.69866,0.36213,0.53292,0.68896,0.65309,0.0003598,0.0003598,0.0003598
99,3684.09,0.34534,0.54411,0.28517,0.70834,0.66666,0.7132,0.37613,0.51123,0.68114,0.62489,0.0003532,0.0003532,0.0003532
100,3721.06,0.35162,0.53439,0.28189,0.68711,0.69289,0.71456,0.37948,0.51973,0.6499,0.63174,0.0003466,0.0003466,0.0003466
101,3757.85,0.34594,0.54391,0.28421,0.76231,0.65657,0.71953,0.38676,0.50509,0.65381,0.59646,0.00034,0.00034,0.00034
102,3795.73,0.34786,0.53541,0.28392,0.76831,0.67438,0.72625,0.38741,0.49181,0.7017,0.60251,0.0003334,0.0003334,0.0003334
103,3833.24,0.35093,0.51903,0.28817,0.7228,0.6819,0.71236,0.38996,0.50531,0.65881,0.61576,0.0003268,0.0003268,0.0003268
104,3871.34,0.34895,0.53839,0.28564,0.75107,0.66494,0.71999,0.38965,0.50274,0.66143,0.6138,0.0003202,0.0003202,0.0003202
105,3908.46,0.34035,0.51343,0.26944,0.72154,0.69372,0.73411,0.39066,0.51432,0.65876,0.64254,0.0003136,0.0003136,0.0003136
106,3946.04,0.34363,0.53649,0.27737,0.68748,0.68679,0.70537,0.37027,0.50243,0.69666,0.61206,0.000307,0.000307,0.000307
107,3983.03,0.33904,0.51771,0.27266,0.71373,0.66653,0.69681,0.37447,0.52287,0.67628,0.63769,0.0003004,0.0003004,0.0003004
108,4019.94,0.34754,0.5286,0.28353,0.72483,0.69902,0.71549,0.388,0.52424,0.64742,0.65415,0.0002938,0.0002938,0.0002938
109,4056.68,0.34052,0.51381,0.27026,0.7271,0.66236,0.70824,0.37742,0.528,0.66377,0.67767,0.0002872,0.0002872,0.0002872
110,4093.66,0.34142,0.51364,0.27269,0.74386,0.64439,0.69162,0.36597,0.52251,0.66957,0.64679,0.0002806,0.0002806,0.0002806
111,4130.61,0.34044,0.50299,0.27429,0.71625,0.667,0.71167,0.37455,0.5174,0.65458,0.65358,0.000274,0.000274,0.000274
112,4167.72,0.32473,0.49502,0.25693,0.69692,0.66963,0.70731,0.38947,0.53214,0.63379,0.65188,0.0002674,0.0002674,0.0002674
113,4204.58,0.3339,0.49762,0.26084,0.71047,0.677,0.71222,0.3843,0.5109,0.68516,0.6487,0.0002608,0.0002608,0.0002608
114,4241.36,0.3259,0.50423,0.25902,0.71345,0.68219,0.71457,0.37238,0.52354,0.65612,0.64492,0.0002542,0.0002542,0.0002542
115,4278.45,0.32848,0.50493,0.26264,0.7137,0.67773,0.7091,0.37426,0.51856,0.67906,0.65368,0.0002476,0.0002476,0.0002476
116,4315.32,0.32039,0.51332,0.25278,0.74231,0.66813,0.70543,0.3869,0.51515,0.65509,0.63471,0.000241,0.000241,0.000241
117,4352.27,0.3243,0.50333,0.26126,0.68623,0.69858,0.71072,0.38386,0.5193,0.68014,0.6431,0.0002344,0.0002344,0.0002344
118,4388.99,0.32206,0.50075,0.25878,0.71251,0.6887,0.71183,0.38433,0.52403,0.66356,0.64922,0.0002278,0.0002278,0.0002278
119,4426.05,0.32426,0.49848,0.2589,0.73685,0.66588,0.7147,0.38052,0.52633,0.65523,0.66225,0.0002212,0.0002212,0.0002212
120,4462.99,0.32042,0.48261,0.25916,0.73943,0.64984,0.71616,0.38998,0.52721,0.64389,0.6677,0.0002146,0.0002146,0.0002146
121,4499.72,0.3242,0.50042,0.25553,0.7471,0.65696,0.70434,0.3847,0.51921,0.66011,0.64278,0.000208,0.000208,0.000208
122,4536.75,0.31545,0.48437,0.24825,0.73147,0.65106,0.69473,0.36599,0.54838,0.66452,0.71398,0.0002014,0.0002014,0.0002014
123,4573.51,0.31281,0.47331,0.24078,0.72585,0.69877,0.72739,0.37816,0.53748,0.64819,0.6953,0.0001948,0.0001948,0.0001948
124,4610.48,0.31201,0.48337,0.2574,0.72737,0.6758,0.70632,0.3758,0.52352,0.66724,0.66862,0.0001882,0.0001882,0.0001882
125,4647.36,0.30588,0.47882,0.24349,0.68285,0.69106,0.70239,0.39056,0.52121,0.65719,0.65331,0.0001816,0.0001816,0.0001816
126,4684.08,0.30487,0.46901,0.23947,0.7323,0.69465,0.71352,0.38477,0.53111,0.65678,0.71208,0.000175,0.000175,0.000175
127,4721.04,0.30692,0.46268,0.24487,0.70204,0.70122,0.71218,0.37779,0.54187,0.66628,0.69145,0.0001684,0.0001684,0.0001684
128,4757.76,0.29792,0.47157,0.23566,0.72042,0.68997,0.71922,0.38589,0.52293,0.67076,0.65582,0.0001618,0.0001618,0.0001618
129,4794.72,0.29913,0.46609,0.23723,0.74736,0.67014,0.70987,0.38411,0.5272,0.66236,0.67442,0.0001552,0.0001552,0.0001552
130,4831.48,0.30089,0.46977,0.23884,0.71983,0.70446,0.71406,0.3863,0.53391,0.65073,0.66438,0.0001486,0.0001486,0.0001486
