epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,602.876,1.5329,1.71053,1.94097,0.40853,0.50675,0.43036,0.17193,2.12417,2.32427,2.44095,0.0008647,0.0008647,0.0008647
43,616.692,1.52842,1.70828,1.92706,0.63711,0.44637,0.50156,0.19984,1.95702,1.96021,2.23385,0.0008614,0.0008614,0.0008614
44,630.338,1.53774,1.72834,1.95057,0.51806,0.56448,0.55807,0.23753,1.93908,1.83195,2.21624,0.0008581,0.0008581,0.0008581
45,644.261,1.53274,1.71352,1.94755,0.57377,0.5887,0.59942,0.26954,1.78306,1.8142,2.06859,0.0008548,0.0008548,0.0008548
46,658.965,1.48489,1.64532,1.89543,0.52736,0.60691,0.60516,0.26534,1.81165,1.70168,2.12729,0.0008515,0.0008515,0.0008515
47,672.703,1.51504,1.69506,1.93034,0.52105,0.61397,0.61157,0.28,1.73233,1.78719,2.05481,0.0008482,0.0008482,0.0008482
48,687.508,1.48171,1.66311,1.89553,0.72049,0.53488,0.63463,0.28428,1.72274,1.80743,2.04754,0.0008449,0.0008449,0.0008449
49,702.253,1.49214,1.66257,1.89845,0.54847,0.64117,0.63295,0.28862,1.75854,1.68458,2.07198,0.0008416,0.0008416,0.0008416
50,716.862,1.4762,1.6478,1.89094,0.47321,0.56828,0.53461,0.23607,1.82588,1.83626,2.10926,0.0008383,0.0008383,0.0008383
51,730.641,1.51453,1.64171,1.91439,0.53754,0.54451,0.57092,0.2601,1.77849,1.75729,2.10089,0.000835,0.000835,0.000835
52,744.456,1.4906,1.61676,1.88611,0.51941,0.54385,0.54742,0.2429,1.83641,1.86894,2.13725,0.0008317,0.0008317,0.0008317
53,758.048,1.48827,1.65386,1.90659,0.5166,0.64381,0.60823,0.27565,1.75839,1.7153,2.06074,0.0008284,0.0008284,0.0008284
54,771.941,1.46629,1.61585,1.88072,0.55956,0.58885,0.59423,0.25991,1.80843,1.7632,2.15313,0.0008251,0.0008251,0.0008251
55,785.71,1.4648,1.59719,1.87851,0.58308,0.60315,0.61811,0.2723,1.82537,1.6737,2.10856,0.0008218,0.0008218,0.0008218
56,799.536,1.50264,1.63733,1.90008,0.56614,0.62607,0.64086,0.29597,1.72558,1.65998,2.02643,0.0008185,0.0008185,0.0008185
57,814.121,1.47826,1.57349,1.87783,0.60677,0.52507,0.58404,0.25449,1.86969,1.7063,2.10442,0.0008152,0.0008152,0.0008152
58,828.6,1.48913,1.63667,1.88097,0.55194,0.58836,0.59633,0.26384,1.79459,1.81172,2.07388,0.0008119,0.0008119,0.0008119
59,842.43,1.45839,1.59603,1.84986,0.62109,0.57917,0.64051,0.29496,1.74811,1.62442,2.03522,0.0008086,0.0008086,0.0008086
60,856.189,1.46239,1.58543,1.85218,0.44386,0.54527,0.49602,0.19794,1.96864,2.00449,2.27858,0.0008053,0.0008053,0.0008053
61,870.034,1.45284,1.57039,1.86027,0.57326,0.56539,0.59645,0.26645,1.74967,1.78571,2.08333,0.000802,0.000802,0.000802
62,883.912,1.46333,1.58902,1.86657,0.53766,0.62057,0.61335,0.28624,1.73174,1.64852,2.01268,0.0007987,0.0007987,0.0007987
63,897.633,1.451,1.58237,1.85969,0.56577,0.602,0.6241,0.28699,1.75269,1.65267,2.05141,0.0007954,0.0007954,0.0007954
64,911.414,1.43114,1.56234,1.84006,0.54876,0.63224,0.63269,0.29958,1.6955,1.62191,1.99133,0.0007921,0.0007921,0.0007921
65,926.112,1.4575,1.56153,1.85897,0.59462,0.58831,0.62035,0.28601,1.71579,1.68577,2.02876,0.0007888,0.0007888,0.0007888
66,940,1.44885,1.53144,1.85329,0.56081,0.61076,0.62238,0.28881,1.74704,1.64166,2.08262,0.0007855,0.0007855,0.0007855
67,953.885,1.4179,1.52727,1.82894,0.52192,0.57707,0.54921,0.23705,1.80848,1.86811,2.1776,0.0007822,0.0007822,0.0007822
68,967.66,1.45433,1.54887,1.85156,0.58257,0.5998,0.62253,0.27033,1.81943,1.68234,2.11516,0.0007789,0.0007789,0.0007789
69,981.56,1.40934,1.50713,1.82624,0.54649,0.65868,0.65003,0.29055,1.73682,1.63186,2.10374,0.0007756,0.0007756,0.0007756
70,995.342,1.41697,1.50121,1.8349,0.57369,0.69855,0.67422,0.31147,1.70423,1.55712,2.03764,0.0007723,0.0007723,0.0007723
71,1009.77,1.41947,1.52956,1.83055,0.71415,0.56628,0.65913,0.32002,1.69044,1.57712,2.00672,0.000769,0.000769,0.000769
72,1024.57,1.42632,1.49747,1.8303,0.60781,0.62048,0.65216,0.30634,1.74091,1.58235,2.12304,0.0007657,0.0007657,0.0007657
73,1038.28,1.42674,1.49393,1.83633,0.61359,0.62422,0.65007,0.31319,1.71825,1.54531,2.07085,0.0007624,0.0007624,0.0007624
74,1052.92,1.4153,1.49637,1.82362,0.55264,0.64238,0.63669,0.30545,1.70923,1.5464,2.05874,0.0007591,0.0007591,0.0007591
75,1066.77,1.42227,1.48121,1.8185,0.57642,0.65314,0.65817,0.30906,1.71743,1.5777,2.01879,0.0007558,0.0007558,0.0007558
76,1080.55,1.4085,1.51652,1.81931,0.64851,0.57844,0.63961,0.31088,1.68526,1.63002,2.04492,0.0007525,0.0007525,0.0007525
77,1094.39,1.39649,1.49219,1.80869,0.59239,0.66503,0.67573,0.31982,1.69061,1.5485,2.03156,0.0007492,0.0007492,0.0007492
78,1108.24,1.39214,1.4905,1.81039,0.60187,0.60786,0.64262,0.31173,1.71127,1.54862,2.06435,0.0007459,0.0007459,0.0007459
79,1121.98,1.40764,1.47827,1.81841,0.54325,0.63761,0.60206,0.28186,1.72725,1.58346,2.03533,0.0007426,0.0007426,0.0007426
80,1135.86,1.40127,1.46181,1.81343,0.57953,0.66137,0.67502,0.33278,1.67485,1.49382,2.01004,0.0007393,0.0007393,0.0007393
81,1150.49,1.41641,1.46214,1.82273,0.57143,0.63286,0.64859,0.28912,1.77801,1.65956,2.0912,0.000736,0.000736,0.000736
82,1164.22,1.38031,1.454,1.79167,0.62077,0.64341,0.66736,0.32818,1.68676,1.55976,2.05784,0.0007327,0.0007327,0.0007327
83,1178.06,1.41362,1.47666,1.81836,0.55565,0.64962,0.65102,0.29739,1.7549,1.56929,2.12805,0.0007294,0.0007294,0.0007294
84,1191.73,1.41872,1.45812,1.82597,0.52717,0.64517,0.62337,0.29231,1.75049,1.64957,2.1006,0.0007261,0.0007261,0.0007261
85,1205.53,1.3891,1.43814,1.79155,0.61259,0.67317,0.67736,0.32283,1.69284,1.47026,2.04607,0.0007228,0.0007228,0.0007228
86,1219.37,1.37256,1.45635,1.7905,0.55397,0.68035,0.672,0.32951,1.64324,1.53169,2.00448,0.0007195,0.0007195,0.0007195
87,1233.09,1.39129,1.42449,1.79629,0.59338,0.65019,0.65958,0.32353,1.65601,1.52589,2.02541,0.0007162,0.0007162,0.0007162
88,1246.66,1.38525,1.44854,1.8062,0.75058,0.49196,0.62612,0.2707,1.82991,1.64598,2.17272,0.0007129,0.0007129,0.0007129
