epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,37.9565,1.24454,3.74619,1.50274,0.49131,0.35484,0.32435,0.14838,0.54399,1.27902,0.66641,0.000329114,0.000329114,0.000329114
2,75.586,0.5845,0.9037,0.51838,0.36473,0.4389,0.37785,0.18183,0.51789,1.13769,0.58343,0.000658075,0.000658075,0.000658075
3,113.228,0.53159,0.8575,0.43559,0.56221,0.35973,0.35527,0.1663,0.59996,1.17118,0.69295,0.000982636,0.000982636,0.000982636
4,149.914,0.51372,0.84539,0.43052,0.34221,0.4719,0.41058,0.20709,0.53753,1.14842,0.62396,0.0009802,0.0009802,0.0009802
5,187.309,0.50522,0.84198,0.43397,0.47254,0.51332,0.47373,0.22758,0.55016,0.93327,0.64272,0.0009736,0.0009736,0.0009736
6,225.009,0.50644,0.80272,0.41157,0.50385,0.40657,0.43552,0.24129,0.48078,1.09524,0.53577,0.000967,0.000967,0.000967
7,262.445,0.48622,0.79437,0.39947,0.53385,0.51471,0.53482,0.26853,0.50791,0.91017,0.59957,0.0009604,0.0009604,0.0009604
8,300.041,0.47826,0.77745,0.3887,0.51685,0.56671,0.54081,0.28018,0.50429,1.01391,0.57204,0.0009538,0.0009538,0.0009538
9,337.409,0.47006,0.77762,0.39006,0.65454,0.57072,0.62026,0.30898,0.49994,0.84182,0.58328,0.0009472,0.0009472,0.0009472
10,374.765,0.4592,0.77695,0.38521,0.61967,0.56444,0.59909,0.30196,0.49134,0.92287,0.56425,0.0009406,0.0009406,0.0009406
11,411.726,0.46052,0.74245,0.38886,0.57558,0.57343,0.60359,0.33604,0.44457,0.89159,0.47267,0.000934,0.000934,0.000934
12,449.383,0.46398,0.72578,0.37933,0.58507,0.60335,0.62418,0.34003,0.48821,0.77506,0.57293,0.0009274,0.0009274,0.0009274
13,487.102,0.45172,0.73947,0.36667,0.60822,0.59987,0.63664,0.3449,0.47531,0.79041,0.53701,0.0009208,0.0009208,0.0009208
14,524.564,0.45151,0.73113,0.37803,0.71829,0.54727,0.61575,0.33622,0.47632,0.82259,0.53518,0.0009142,0.0009142,0.0009142
15,561.41,0.45562,0.71326,0.37561,0.53853,0.59272,0.60482,0.31667,0.50496,0.79601,0.57597,0.0009076,0.0009076,0.0009076
16,598.289,0.44722,0.72393,0.37637,0.58746,0.57529,0.61426,0.33889,0.47002,0.80536,0.52923,0.000901,0.000901,0.000901
17,634.991,0.44263,0.71776,0.36293,0.67608,0.57754,0.65126,0.35391,0.45994,0.78463,0.5072,0.0008944,0.0008944,0.0008944
18,672.808,0.43381,0.70934,0.36121,0.70328,0.49606,0.56403,0.29524,0.54299,0.85145,0.60624,0.0008878,0.0008878,0.0008878
19,709.528,0.44858,0.70679,0.36484,0.66496,0.57831,0.641,0.34553,0.47771,0.8031,0.54094,0.0008812,0.0008812,0.0008812
20,746.261,0.44082,0.69797,0.36121,0.60901,0.61095,0.64405,0.33894,0.48673,0.78401,0.55371,0.0008746,0.0008746,0.0008746
21,783.212,0.44111,0.69964,0.37037,0.65374,0.63589,0.66574,0.35353,0.48242,0.74942,0.56421,0.000868,0.000868,0.000868
22,819.928,0.43655,0.66968,0.35964,0.59806,0.6256,0.63244,0.31383,0.5201,0.7539,0.59111,0.0008614,0.0008614,0.0008614
23,856.839,0.43523,0.67773,0.35579,0.68059,0.61193,0.683,0.34946,0.50041,0.76499,0.54921,0.0008548,0.0008548,0.0008548
24,893.57,0.4332,0.6947,0.36012,0.57461,0.63846,0.6412,0.35966,0.4704,0.78661,0.54234,0.0008482,0.0008482,0.0008482
25,931.025,0.42872,0.6817,0.35464,0.66005,0.63582,0.66729,0.36829,0.46955,0.76339,0.53778,0.0008416,0.0008416,0.0008416
26,968.848,0.42964,0.68626,0.3502,0.63441,0.60567,0.64694,0.35492,0.4723,0.80181,0.51427,0.000835,0.000835,0.000835
27,1005.63,0.43324,0.67787,0.35929,0.64287,0.65064,0.66237,0.36126,0.47276,0.76227,0.56626,0.0008284,0.0008284,0.0008284
28,1042.64,0.43152,0.69352,0.35252,0.61995,0.57912,0.63486,0.35012,0.46483,0.78644,0.53335,0.0008218,0.0008218,0.0008218
29,1079.38,0.42224,0.67511,0.34438,0.66211,0.61103,0.6581,0.34441,0.466,0.80367,0.54067,0.0008152,0.0008152,0.0008152
30,1116.17,0.41705,0.67761,0.34294,0.62099,0.63294,0.65993,0.35839,0.46826,0.76041,0.55835,0.0008086,0.0008086,0.0008086
31,1153.1,0.42335,0.67777,0.35644,0.57411,0.66234,0.64822,0.35035,0.47662,0.74909,0.55146,0.000802,0.000802,0.000802
