epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6213,3.43046,4.61717,4.1565,0.00054,0.15613,0.00107,0.00027,3.75694,4.80543,4.10537,0.000329114,0.000329114,0.000329114
2,21.8873,3.2155,4.2838,3.77027,0.70726,0.01001,0.01078,0.00475,3.36111,4.70516,3.73175,0.000658075,0.000658075,0.000658075
3,29.1791,2.90314,4.0191,3.3443,0.36681,0.10439,0.03191,0.01173,2.91148,11.0551,3.20746,0.000982636,0.000982636,0.000982636
4,36.3012,2.7339,3.69398,3.07768,0.26001,0.23156,0.05389,0.01841,2.93958,6.54279,3.16008,0.0009802,0.0009802,0.0009802
5,43.304,2.59817,3.4524,2.94629,0.36293,0.19756,0.13421,0.04782,2.52039,3.64552,2.79624,0.0009736,0.0009736,0.0009736
6,50.3626,2.42623,3.2889,2.82076,0.50523,0.15408,0.11561,0.04499,2.51916,3.50074,2.7414,0.000967,0.000967,0.000967
7,57.3183,2.34918,3.10342,2.71771,0.12221,0.23531,0.09533,0.02925,2.47643,3.84535,2.78388,0.0009604,0.0009604,0.0009604
8,64.2671,2.3302,2.99499,2.6959,0.12945,0.20371,0.08978,0.0267,2.48232,3.53579,2.80297,0.0009538,0.0009538,0.0009538
9,72.1062,2.27284,2.88051,2.64958,0.22981,0.23421,0.18648,0.06946,2.44,3.26767,2.70386,0.0009472,0.0009472,0.0009472
10,79.194,2.20127,2.78758,2.58551,0.45391,0.35607,0.25101,0.09505,2.24867,2.89437,2.51785,0.0009406,0.0009406,0.0009406
11,86.1849,2.13978,2.71039,2.53664,0.53851,0.34093,0.28919,0.10816,2.16916,2.50607,2.47208,0.000934,0.000934,0.000934
12,93.1963,2.12772,2.61139,2.50136,0.32094,0.37594,0.30351,0.11545,2.16258,2.50786,2.39363,0.0009274,0.0009274,0.0009274
13,100.202,2.0948,2.56955,2.46883,0.4479,0.25917,0.24528,0.09609,2.22278,2.9321,2.49516,0.0009208,0.0009208,0.0009208
14,107.436,2.05053,2.46685,2.42284,0.46171,0.3574,0.27177,0.09954,2.2003,2.88686,2.46437,0.0009142,0.0009142,0.0009142
15,114.422,1.99433,2.38031,2.36539,0.5297,0.36599,0.3646,0.14286,2.04196,2.31687,2.38715,0.0009076,0.0009076,0.0009076
16,121.665,1.94524,2.31962,2.34617,0.32379,0.38494,0.31704,0.11976,2.24777,2.54704,2.48365,0.000901,0.000901,0.000901
17,128.594,1.90933,2.28749,2.30006,0.41202,0.45322,0.40216,0.17232,2.00212,2.33693,2.29695,0.0008944,0.0008944,0.0008944
18,135.938,1.89689,2.30448,2.2921,0.58932,0.21939,0.26023,0.09814,2.2587,2.9058,2.49804,0.0008878,0.0008878,0.0008878
19,142.935,1.86486,2.23384,2.26125,0.40463,0.44575,0.39716,0.1727,2.0276,2.22951,2.30106,0.0008812,0.0008812,0.0008812
20,150.078,1.83903,2.17015,2.25313,0.53576,0.39978,0.41689,0.17386,2.06494,2.09105,2.35762,0.0008746,0.0008746,0.0008746
21,157.184,1.86102,2.11964,2.23097,0.44882,0.47367,0.4464,0.19652,1.92228,2.00323,2.20952,0.000868,0.000868,0.000868
22,164.178,1.83678,2.12491,2.21779,0.56631,0.48757,0.49941,0.22822,1.88483,1.94196,2.16874,0.0008614,0.0008614,0.0008614
23,171.215,1.8013,2.03793,2.17005,0.58715,0.42419,0.45175,0.21203,1.87367,2.00335,2.16219,0.0008548,0.0008548,0.0008548
24,178.546,1.79875,1.98711,2.16559,0.7172,0.40719,0.47905,0.22881,1.86903,1.93243,2.12883,0.0008482,0.0008482,0.0008482
25,185.612,1.77027,1.98132,2.15585,0.64579,0.42374,0.47796,0.21971,1.8906,2.0312,2.18748,0.0008416,0.0008416,0.0008416
26,192.539,1.78232,1.95984,2.15928,0.4159,0.45458,0.42972,0.18906,1.96908,2.16756,2.23453,0.000835,0.000835,0.000835
27,199.478,1.77494,1.95388,2.12968,0.68672,0.46026,0.51394,0.24193,1.83972,1.93444,2.10748,0.0008284,0.0008284,0.0008284
28,206.507,1.74902,1.95386,2.11733,0.64509,0.41997,0.4972,0.23065,1.83809,1.92154,2.1269,0.0008218,0.0008218,0.0008218
29,213.456,1.74124,1.921,2.11698,0.53374,0.47678,0.50725,0.24065,1.8708,1.90675,2.18391,0.0008152,0.0008152,0.0008152
30,220.395,1.70598,1.86901,2.08918,0.54298,0.51033,0.53861,0.25867,1.79329,1.81435,2.07214,0.0008086,0.0008086,0.0008086
31,227.419,1.71052,1.85682,2.0824,0.46821,0.44858,0.43379,0.19298,1.93261,2.02611,2.17158,0.000802,0.000802,0.000802
32,234.35,1.70139,1.84378,2.0625,0.55877,0.47042,0.48996,0.2379,1.80896,1.91319,2.09119,0.0007954,0.0007954,0.0007954
33,241.361,1.69588,1.84327,2.06393,0.55051,0.52923,0.56384,0.26454,1.77762,1.79246,2.03662,0.0007888,0.0007888,0.0007888
34,248.406,1.69031,1.83597,2.05174,0.67123,0.48558,0.56755,0.2604,1.85468,1.81251,2.10706,0.0007822,0.0007822,0.0007822
35,255.326,1.66235,1.86311,2.03625,0.47345,0.53411,0.55514,0.27152,1.78363,1.80029,2.10054,0.0007756,0.0007756,0.0007756
36,262.727,1.68504,1.81898,2.05596,0.46526,0.49882,0.50143,0.2274,1.90662,1.99007,2.15602,0.000769,0.000769,0.000769
37,269.602,1.66274,1.8105,2.02539,0.49363,0.55267,0.54578,0.25491,1.8638,1.93203,2.1245,0.0007624,0.0007624,0.0007624
38,276.565,1.66919,1.81816,2.04926,0.64416,0.44392,0.52513,0.24829,1.79936,1.90389,2.12033,0.0007558,0.0007558,0.0007558
39,283.869,1.61486,1.74315,1.99339,0.58224,0.53032,0.56502,0.28676,1.691,1.76945,1.99545,0.0007492,0.0007492,0.0007492
40,291.349,1.61218,1.71585,2.00663,0.58656,0.58868,0.60907,0.29638,1.7651,1.69738,2.02394,0.0007426,0.0007426,0.0007426
41,298.348,1.6409,1.74553,2.00749,0.5533,0.52967,0.55407,0.26227,1.79977,1.82297,2.04762,0.000736,0.000736,0.000736
42,305.253,1.63573,1.70676,1.99776,0.57046,0.57007,0.5883,0.28778,1.74738,1.66044,2.02471,0.0007294,0.0007294,0.0007294
43,312.35,1.60015,1.67439,1.97159,0.55193,0.57733,0.59966,0.29531,1.73301,1.63413,2.01827,0.0007228,0.0007228,0.0007228
44,320.073,1.58692,1.67987,1.97859,0.56529,0.53219,0.55463,0.25279,1.90044,1.93539,2.16968,0.0007162,0.0007162,0.0007162
45,327.503,1.61363,1.66763,1.98018,0.63426,0.545,0.59695,0.28189,1.77891,1.76231,2.08906,0.0007096,0.0007096,0.0007096
46,335.104,1.59798,1.68188,1.97944,0.68965,0.51725,0.61986,0.30752,1.73331,1.6471,1.98147,0.000703,0.000703,0.000703
47,342.117,1.57323,1.6631,1.95676,0.53676,0.57943,0.60294,0.29172,1.76754,1.63971,2.02475,0.0006964,0.0006964,0.0006964
48,349.054,1.58726,1.66024,1.96096,0.54288,0.53587,0.56584,0.2752,1.76703,1.81203,2.06385,0.0006898,0.0006898,0.0006898
49,355.961,1.61219,1.62062,1.96309,0.61005,0.58876,0.6176,0.30249,1.68227,1.66866,1.97553,0.0006832,0.0006832,0.0006832
50,362.87,1.56671,1.60397,1.93739,0.55947,0.53717,0.56052,0.27505,1.79844,1.75731,2.06793,0.0006766,0.0006766,0.0006766
51,369.765,1.54675,1.6135,1.92531,0.52848,0.58587,0.55691,0.27394,1.74878,1.73551,2.02218,0.00067,0.00067,0.00067
52,376.721,1.55475,1.60063,1.92915,0.57694,0.55087,0.60033,0.28875,1.73371,1.69075,2.02382,0.0006634,0.0006634,0.0006634
53,383.655,1.55018,1.60643,1.91088,0.61737,0.54354,0.63652,0.32855,1.66272,1.61403,1.95209,0.0006568,0.0006568,0.0006568
