epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,56.2097,0.8834,4.20829,0.82121,0.64972,0.23373,0.23092,0.11101,0.52283,1.57737,0.62374,0.000329114,0.000329114,0.000329114
2,97.6768,0.55145,0.96247,0.47116,0.68745,0.40582,0.41818,0.21954,0.53075,1.02823,0.63159,0.000658075,0.000658075,0.000658075
3,134.966,0.52847,0.85625,0.43145,0.44715,0.43454,0.38986,0.16959,0.59111,1.08676,0.67454,0.000982636,0.000982636,0.000982636
4,171.313,0.51409,0.86728,0.41828,0.67564,0.44407,0.52159,0.26995,0.49578,1.17953,0.57633,0.0009802,0.0009802,0.0009802
5,208.259,0.49568,0.82428,0.41937,0.48706,0.60219,0.55976,0.30184,0.47927,0.89837,0.50285,0.0009736,0.0009736,0.0009736
6,245.439,0.49314,0.80358,0.40216,0.5592,0.48625,0.53672,0.27871,0.52663,0.95383,0.59514,0.000967,0.000967,0.000967
7,281.697,0.48597,0.78254,0.40327,0.70769,0.51197,0.5625,0.26962,0.5112,0.89054,0.58155,0.0009604,0.0009604,0.0009604
8,318.151,0.47964,0.7638,0.38438,0.76448,0.51422,0.58517,0.29794,0.48376,0.90698,0.5657,0.0009538,0.0009538,0.0009538
9,354.446,0.47569,0.75611,0.39371,0.56837,0.63138,0.60714,0.32763,0.48082,0.81246,0.56378,0.0009472,0.0009472,0.0009472
10,391.406,0.46446,0.7492,0.39519,0.55036,0.57876,0.58094,0.28238,0.4892,0.90268,0.56459,0.0009406,0.0009406,0.0009406
11,427.804,0.46695,0.7249,0.39237,0.69815,0.56732,0.60489,0.33293,0.44765,0.8774,0.49528,0.000934,0.000934,0.000934
12,464.836,0.45807,0.72746,0.3755,0.55663,0.52362,0.56184,0.28973,0.53419,0.83478,0.61465,0.0009274,0.0009274,0.0009274
13,501.167,0.45132,0.73085,0.37232,0.58971,0.56288,0.64805,0.36638,0.45257,0.80393,0.50982,0.0009208,0.0009208,0.0009208
14,538.13,0.44705,0.73335,0.37204,0.60516,0.64104,0.64674,0.34988,0.47479,0.77857,0.53556,0.0009142,0.0009142,0.0009142
15,574.375,0.4592,0.72274,0.37732,0.54052,0.57541,0.59484,0.32317,0.48199,0.82111,0.56036,0.0009076,0.0009076,0.0009076
16,610.645,0.44768,0.7125,0.37686,0.58708,0.6241,0.66005,0.35714,0.46826,0.78933,0.52872,0.000901,0.000901,0.000901
17,646.808,0.44349,0.71569,0.36711,0.59115,0.64907,0.64346,0.35139,0.47113,0.76167,0.52704,0.0008944,0.0008944,0.0008944
18,683.178,0.43429,0.70815,0.36648,0.75768,0.58386,0.65863,0.36045,0.47964,0.76456,0.54507,0.0008878,0.0008878,0.0008878
19,719.441,0.44353,0.702,0.35806,0.61565,0.6161,0.63118,0.31476,0.49055,0.83572,0.58699,0.0008812,0.0008812,0.0008812
20,756.174,0.43343,0.69972,0.35538,0.62873,0.59954,0.63405,0.352,0.46652,0.77726,0.55382,0.0008746,0.0008746,0.0008746
21,792.759,0.44018,0.71443,0.36674,0.59707,0.62845,0.6385,0.33516,0.5011,0.78376,0.59583,0.000868,0.000868,0.000868
22,828.971,0.43313,0.68108,0.35569,0.58037,0.63888,0.64058,0.33397,0.48769,0.78637,0.55454,0.0008614,0.0008614,0.0008614
23,865.48,0.42764,0.7109,0.34558,0.59655,0.66647,0.66282,0.364,0.45996,0.76577,0.53767,0.0008548,0.0008548,0.0008548
