epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,434.952,1.53615,1.62303,1.95871,0.55951,0.54704,0.60272,0.28753,1.76361,1.75523,2.11634,0.000307,0.000307,0.000307
44,445.449,1.5188,1.59332,1.93029,0.56251,0.60752,0.63456,0.29958,1.75488,1.65401,2.11343,0.0002905,0.0002905,0.0002905
45,456.131,1.51348,1.57136,1.92868,0.57719,0.59721,0.63273,0.30489,1.74809,1.66116,2.10118,0.000274,0.000274,0.000274
46,466.773,1.49799,1.55756,1.92849,0.60569,0.5942,0.63858,0.30949,1.69805,1.69809,2.05308,0.0002575,0.0002575,0.0002575
47,476.985,1.50025,1.56079,1.92067,0.54626,0.61109,0.62834,0.30098,1.73115,1.65966,2.07364,0.000241,0.000241,0.000241
48,487.162,1.505,1.55133,1.93395,0.59154,0.60213,0.64643,0.3146,1.72881,1.64376,2.07643,0.0002245,0.0002245,0.0002245
49,497.513,1.47986,1.55569,1.91383,0.55792,0.62252,0.64097,0.3127,1.71059,1.62338,2.06182,0.000208,0.000208,0.000208
50,507.872,1.46664,1.52211,1.89657,0.60539,0.60236,0.64395,0.31452,1.72962,1.64642,2.0992,0.0001915,0.0001915,0.0001915
51,519.135,1.46611,1.50449,1.88368,0.63365,0.5645,0.65245,0.31922,1.70161,1.60182,2.04862,0.000175,0.000175,0.000175
52,530.07,1.46687,1.5201,1.89386,0.57462,0.63526,0.65584,0.32097,1.71131,1.59732,2.06033,0.0001585,0.0001585,0.0001585
53,541.067,1.44893,1.48584,1.87728,0.60082,0.64516,0.66693,0.32432,1.71035,1.58193,2.05572,0.000142,0.000142,0.000142
54,551.842,1.4347,1.44971,1.87004,0.57774,0.64504,0.66017,0.32262,1.69069,1.61691,2.04471,0.0001255,0.0001255,0.0001255
55,562.397,1.44281,1.47958,1.8734,0.60735,0.64481,0.67138,0.32517,1.69751,1.59885,2.059,0.000109,0.000109,0.000109
56,573.197,1.43337,1.46226,1.86249,0.57399,0.63345,0.65793,0.3205,1.70831,1.59728,2.05332,9.25e-05,9.25e-05,9.25e-05
57,583.595,1.42775,1.46143,1.86971,0.59638,0.61807,0.65276,0.32763,1.70755,1.62031,2.07332,7.6e-05,7.6e-05,7.6e-05
58,593.94,1.41485,1.43744,1.85129,0.57836,0.63755,0.66104,0.32949,1.68182,1.60035,2.04301,5.95e-05,5.95e-05,5.95e-05
59,604.586,1.40349,1.43247,1.85117,0.61961,0.62467,0.67144,0.33595,1.69117,1.57107,2.04316,4.3e-05,4.3e-05,4.3e-05
60,615.398,1.39544,1.42786,1.83541,0.57237,0.62888,0.66038,0.32809,1.70458,1.58827,2.05762,2.65e-05,2.65e-05,2.65e-05
