epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3581,1.85519,3.26946,1.89664,0.5086,0.38144,0.31903,0.14229,1.96581,3.9974,2.10106,0.000329114,0.000329114,0.000329114
2,24.2794,1.67745,2.09098,1.72508,0.22344,0.45938,0.2635,0.11,2.05566,4.23451,2.2767,0.000658075,0.000658075,0.000658075
3,32.6432,1.7332,2.02407,1.76973,0.60524,0.33533,0.25741,0.10784,2.18228,3.06026,2.25143,0.000982636,0.000982636,0.000982636
4,41.061,1.72617,2.04285,1.76564,0.27069,0.29349,0.23772,0.09677,2.0963,2.97838,2.1675,0.0009802,0.0009802,0.0009802
5,49.3057,1.66882,1.94331,1.75675,0.42842,0.4213,0.44197,0.20547,1.90411,2.08431,2.00439,0.0009736,0.0009736,0.0009736
6,57.8299,1.63282,1.89163,1.70246,0.49584,0.46339,0.45605,0.20449,1.88072,2.39387,1.96355,0.000967,0.000967,0.000967
7,66.1481,1.61091,1.81261,1.6904,0.48774,0.56813,0.56516,0.26311,1.76133,1.8367,1.86082,0.0009604,0.0009604,0.0009604
8,74.937,1.57588,1.74468,1.67618,0.63344,0.41935,0.44319,0.21396,1.83934,1.94293,1.89881,0.0009538,0.0009538,0.0009538
9,83.4001,1.58283,1.7435,1.68442,0.63687,0.47563,0.51105,0.23058,1.90377,1.9185,1.93186,0.0009472,0.0009472,0.0009472
10,91.793,1.55527,1.74162,1.6742,0.4735,0.59909,0.53705,0.25424,1.7582,1.8972,1.82654,0.0009406,0.0009406,0.0009406
11,100.149,1.5466,1.68897,1.65313,0.41579,0.5341,0.4846,0.22173,1.8006,2.03797,1.89196,0.000934,0.000934,0.000934
12,108.461,1.51553,1.65499,1.63065,0.63387,0.54104,0.59652,0.29383,1.79307,1.60775,1.80306,0.0009274,0.0009274,0.0009274
13,117.028,1.51915,1.60636,1.60874,0.48799,0.58917,0.56894,0.28371,1.72117,1.73818,1.75864,0.0009208,0.0009208,0.0009208
14,125.374,1.51998,1.62404,1.62055,0.43418,0.53143,0.51968,0.25152,1.85294,1.78838,1.89065,0.0009142,0.0009142,0.0009142
15,133.708,1.53695,1.65259,1.6333,0.60869,0.57803,0.62188,0.30891,1.69428,1.58614,1.73094,0.0009076,0.0009076,0.0009076
16,142.33,1.48432,1.58109,1.6043,0.54486,0.57454,0.58598,0.29916,1.70775,1.64523,1.75681,0.000901,0.000901,0.000901
17,150.554,1.49442,1.58956,1.59916,0.42495,0.53743,0.52473,0.26481,1.7939,1.82741,1.83624,0.0008944,0.0008944,0.0008944
18,158.886,1.49111,1.57299,1.60745,0.55785,0.58064,0.57747,0.29512,1.70974,1.60133,1.75818,0.0008878,0.0008878,0.0008878
19,167.226,1.48541,1.56017,1.59996,0.4928,0.58232,0.58615,0.29206,1.69244,1.74229,1.79195,0.0008812,0.0008812,0.0008812
20,175.515,1.45287,1.52166,1.58138,0.56023,0.55576,0.59331,0.30641,1.74571,1.58658,1.78215,0.0008746,0.0008746,0.0008746
21,183.784,1.46122,1.50318,1.59648,0.72186,0.53477,0.61195,0.30141,1.7385,1.62201,1.78754,0.000868,0.000868,0.000868
22,192.103,1.44837,1.47619,1.57459,0.54811,0.61193,0.64514,0.33118,1.65047,1.51492,1.72642,0.0008614,0.0008614,0.0008614
23,200.759,1.44368,1.51606,1.56672,0.59735,0.63311,0.65589,0.32659,1.71758,1.54276,1.76902,0.0008548,0.0008548,0.0008548
24,209.06,1.44805,1.50764,1.58074,0.55412,0.59471,0.61493,0.32186,1.67341,1.54772,1.75277,0.0008482,0.0008482,0.0008482
25,217.335,1.44308,1.4635,1.57393,0.79487,0.54538,0.61419,0.32011,1.65764,1.57813,1.71867,0.0008416,0.0008416,0.0008416
26,225.698,1.45592,1.46883,1.57283,0.57289,0.62428,0.62349,0.30662,1.74577,1.51785,1.7784,0.000835,0.000835,0.000835
27,234.041,1.45382,1.50796,1.57993,0.6952,0.52325,0.62491,0.32476,1.67294,1.52213,1.74139,0.0008284,0.0008284,0.0008284
28,242.286,1.44391,1.5102,1.57709,0.63539,0.54516,0.61151,0.31474,1.64127,1.52327,1.71862,0.0008218,0.0008218,0.0008218
29,250.636,1.41283,1.4505,1.55333,0.67086,0.60197,0.64625,0.33441,1.6227,1.5033,1.71586,0.0008152,0.0008152,0.0008152
30,259.247,1.38663,1.42492,1.55009,0.63572,0.58329,0.62668,0.32076,1.63084,1.51301,1.69938,0.0008086,0.0008086,0.0008086
31,267.564,1.41755,1.43699,1.55929,0.60484,0.66219,0.66756,0.35149,1.63596,1.42175,1.71174,0.000802,0.000802,0.000802
32,276.11,1.41069,1.39093,1.54291,0.70243,0.59233,0.65638,0.3483,1.61667,1.43249,1.6946,0.0007954,0.0007954,0.0007954
33,284.329,1.39063,1.40274,1.53957,0.59062,0.61765,0.67278,0.35762,1.58054,1.41545,1.66727,0.0007888,0.0007888,0.0007888
34,293.032,1.39215,1.39453,1.53395,0.61488,0.63549,0.66992,0.36149,1.5729,1.39653,1.67653,0.0007822,0.0007822,0.0007822
35,301.552,1.40432,1.40234,1.54782,0.61247,0.63419,0.65625,0.3467,1.64132,1.4312,1.71295,0.0007756,0.0007756,0.0007756
36,309.886,1.38911,1.38041,1.53357,0.61911,0.66174,0.67876,0.34345,1.60726,1.45321,1.68937,0.000769,0.000769,0.000769
37,318.257,1.40962,1.41929,1.5435,0.57436,0.63968,0.66575,0.35875,1.59074,1.41158,1.67112,0.0007624,0.0007624,0.0007624
38,326.545,1.36233,1.34537,1.51215,0.59569,0.62903,0.68222,0.3639,1.57363,1.36532,1.66544,0.0007558,0.0007558,0.0007558
39,335.132,1.40348,1.38677,1.54584,0.61861,0.62717,0.64985,0.35037,1.61779,1.45278,1.69592,0.0007492,0.0007492,0.0007492
40,343.348,1.3978,1.373,1.52908,0.62474,0.66656,0.70039,0.36701,1.60671,1.38508,1.67753,0.0007426,0.0007426,0.0007426
41,352.001,1.3527,1.36396,1.51434,0.58497,0.65609,0.67656,0.3664,1.56575,1.39576,1.65408,0.000736,0.000736,0.000736
42,360.254,1.33726,1.32627,1.49296,0.6136,0.6486,0.68529,0.36998,1.59774,1.33351,1.69014,0.0007294,0.0007294,0.0007294
43,368.836,1.37452,1.34766,1.52315,0.58284,0.60038,0.61799,0.31659,1.69789,1.51747,1.772,0.0007228,0.0007228,0.0007228
44,377.113,1.38458,1.36708,1.5285,0.63242,0.60153,0.65012,0.34167,1.63384,1.37418,1.7185,0.0007162,0.0007162,0.0007162
45,385.449,1.35144,1.31116,1.50173,0.62273,0.65073,0.67328,0.34833,1.6277,1.39989,1.69914,0.0007096,0.0007096,0.0007096
46,393.687,1.35345,1.3251,1.50266,0.63787,0.56324,0.63899,0.34899,1.57896,1.44474,1.6934,0.000703,0.000703,0.000703
47,402.042,1.3402,1.33103,1.49151,0.73935,0.56157,0.64069,0.34147,1.60355,1.40266,1.68805,0.0006964,0.0006964,0.0006964
48,410.656,1.34514,1.31604,1.51048,0.59693,0.63031,0.65785,0.35761,1.59066,1.37318,1.6986,0.0006898,0.0006898,0.0006898
49,419.019,1.35251,1.30789,1.50085,0.64247,0.66362,0.6891,0.36564,1.56782,1.32464,1.6783,0.0006832,0.0006832,0.0006832
50,427.319,1.33751,1.30891,1.49339,0.54933,0.66398,0.64838,0.34193,1.56544,1.42804,1.67956,0.0006766,0.0006766,0.0006766
51,435.862,1.34015,1.27919,1.49769,0.6271,0.67759,0.69203,0.37253,1.5894,1.34368,1.68464,0.00067,0.00067,0.00067
