epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
44,1202.31,0.43112,0.67896,0.35096,0.60526,0.56245,0.6055,0.32225,nan,nan,nan,0.0007162,0.0007162,0.0007162
45,1228.97,0.41619,0.68867,0.34589,0.7143,0.58553,0.64363,0.35171,nan,nan,nan,0.0007096,0.0007096,0.0007096
46,1255.33,0.4194,0.69046,0.33993,0.59237,0.6031,0.59395,0.32992,nan,nan,nan,0.000703,0.000703,0.000703
47,1281.76,0.41834,0.6823,0.33919,0.60553,0.58713,0.61965,0.32741,nan,nan,nan,0.0006964,0.0006964,0.0006964
48,1308.38,0.40892,0.68719,0.34306,0.64685,0.63221,0.64649,0.32597,nan,nan,nan,0.0006898,0.0006898,0.0006898
49,1334.79,0.42101,0.66865,0.34631,0.6377,0.62862,0.64725,0.35064,nan,nan,nan,0.0006832,0.0006832,0.0006832
50,1361.45,0.41018,0.65921,0.33658,0.61828,0.60295,0.63085,0.31742,nan,nan,nan,0.0006766,0.0006766,0.0006766
51,1387.87,0.41582,0.66402,0.34257,0.66279,0.61471,0.64863,0.34469,0.50466,0.74558,0.56842,0.00067,0.00067,0.00067
52,1414.32,0.42242,0.6756,0.34146,0.69252,0.61612,0.67178,0.36556,0.4714,0.73113,0.53286,0.0006634,0.0006634,0.0006634
53,1440.84,0.42294,0.65019,0.35015,0.6706,0.63581,0.66917,0.35828,0.47211,0.75816,0.54672,0.0006568,0.0006568,0.0006568
54,1467.19,0.41531,0.65885,0.34658,0.67691,0.60571,0.63065,0.32359,nan,nan,nan,0.0006502,0.0006502,0.0006502
55,1493.85,0.41724,0.65993,0.34128,0.67822,0.64309,0.66228,0.35808,nan,nan,nan,0.0006436,0.0006436,0.0006436
56,1520.16,0.40705,0.6462,0.33992,0.67044,0.6456,0.69013,0.37681,nan,nan,nan,0.000637,0.000637,0.000637
57,1547.22,0.41065,0.61833,0.33583,0.66103,0.64937,0.68253,0.37592,0.48588,0.69496,0.60231,0.0006304,0.0006304,0.0006304
58,1573.76,0.40744,0.65041,0.32838,0.67332,0.6138,0.66449,0.36113,nan,nan,nan,0.0006238,0.0006238,0.0006238
59,1600.07,0.42586,0.66418,0.34764,0.68602,0.64615,0.68996,0.35941,0.47963,0.74304,0.56498,0.0006172,0.0006172,0.0006172
60,1626.58,0.40809,0.65654,0.33741,0.66118,0.66143,0.68011,0.36974,0.48734,0.70784,0.56147,0.0006106,0.0006106,0.0006106
61,1652.92,0.40865,0.65714,0.33632,0.6748,0.60676,0.63956,0.33741,nan,nan,nan,0.000604,0.000604,0.000604
62,1679.45,0.41349,0.66549,0.33839,0.65285,0.61304,0.64714,0.34873,nan,nan,nan,0.0005974,0.0005974,0.0005974
63,1705.74,0.41566,0.67137,0.34093,0.63638,0.57556,0.60603,0.33652,nan,nan,nan,0.0005908,0.0005908,0.0005908
64,1732.01,0.40188,0.65183,0.33577,0.6199,0.65804,0.6416,0.34742,nan,nan,nan,0.0005842,0.0005842,0.0005842
65,1758.47,0.40757,0.66708,0.33084,0.66599,0.61311,0.62157,0.34377,nan,nan,nan,0.0005776,0.0005776,0.0005776
66,1784.88,0.40472,0.6568,0.32467,0.6561,0.66041,0.67398,0.37609,nan,nan,nan,0.000571,0.000571,0.000571
67,1811.38,0.41026,0.64732,0.33726,0.63165,0.60547,0.63669,0.35465,nan,nan,nan,0.0005644,0.0005644,0.0005644
