epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,336.603,1.34599,1.38898,1.50434,0.67837,0.62756,0.68927,0.37096,1.56415,1.40341,1.6704,0.0007294,0.0007294,0.0007294
43,344.632,1.35548,1.39551,1.50692,0.6275,0.61399,0.65394,0.33535,1.64395,1.42761,1.6896,0.0007228,0.0007228,0.0007228
44,352.706,1.36455,1.40098,1.51431,0.58929,0.63253,0.66128,0.34711,1.65285,1.44376,1.72503,0.0007162,0.0007162,0.0007162
45,360.59,1.33172,1.33518,1.48374,0.57278,0.63578,0.67368,0.35164,1.58812,1.43068,1.66725,0.0007096,0.0007096,0.0007096
46,368.495,1.3457,1.31777,1.47879,0.5778,0.6661,0.66869,0.36696,1.53435,1.37402,1.63518,0.000703,0.000703,0.000703
47,376.407,1.32881,1.32494,1.47424,0.68721,0.60679,0.643,0.34942,1.57851,1.47739,1.65447,0.0006964,0.0006964,0.0006964
48,384.265,1.32277,1.31797,1.48811,0.57919,0.56328,0.59958,0.31219,1.69049,1.46451,1.74239,0.0006898,0.0006898,0.0006898
49,392.116,1.36669,1.35497,1.4996,0.61563,0.65706,0.68394,0.35589,1.5975,1.40796,1.66219,0.0006832,0.0006832,0.0006832
50,400.01,1.33427,1.32846,1.47428,0.55306,0.64408,0.63436,0.33392,1.61506,1.48146,1.68302,0.0006766,0.0006766,0.0006766
51,407.927,1.32141,1.30154,1.47607,0.65415,0.65604,0.68076,0.35051,1.6099,1.42572,1.66871,0.00067,0.00067,0.00067
52,415.821,1.31348,1.28034,1.46425,0.62123,0.68208,0.70696,0.38056,1.57217,1.3544,1.63165,0.0006634,0.0006634,0.0006634
53,423.774,1.32753,1.2995,1.47366,0.68929,0.69326,0.72077,0.38384,1.56174,1.32932,1.62865,0.0006568,0.0006568,0.0006568
54,431.732,1.3227,1.30719,1.48141,0.6426,0.65081,0.70535,0.37393,1.59871,1.38446,1.68426,0.0006502,0.0006502,0.0006502
55,439.597,1.33228,1.31878,1.48457,0.65668,0.66482,0.71614,0.39017,1.52591,1.34137,1.62839,0.0006436,0.0006436,0.0006436
56,447.573,1.30397,1.2884,1.47399,0.68335,0.63416,0.70119,0.3797,1.56179,1.34029,1.64572,0.000637,0.000637,0.000637
57,455.44,1.31793,1.25723,1.46976,0.6669,0.67788,0.7168,0.3926,1.54378,1.29668,1.63217,0.0006304,0.0006304,0.0006304
58,463.44,1.32398,1.2655,1.47017,0.56808,0.66839,0.69296,0.37215,1.5663,1.37507,1.64607,0.0006238,0.0006238,0.0006238
59,471.342,1.32742,1.28543,1.47183,0.63088,0.67878,0.70252,0.38826,1.54923,1.31407,1.62723,0.0006172,0.0006172,0.0006172
60,479.183,1.28677,1.2621,1.44905,0.64895,0.65209,0.70012,0.38093,1.54154,1.32436,1.6486,0.0006106,0.0006106,0.0006106
61,487.041,1.30011,1.24977,1.45788,0.68508,0.65429,0.71279,0.39266,1.56648,1.32525,1.63067,0.000604,0.000604,0.000604
62,495.001,1.31209,1.28687,1.4683,0.57917,0.66261,0.67466,0.36435,1.58265,1.38049,1.66265,0.0005974,0.0005974,0.0005974
63,502.868,1.31315,1.26447,1.4571,0.66637,0.63709,0.69347,0.38154,1.54691,1.3247,1.61671,0.0005908,0.0005908,0.0005908
64,510.764,1.27624,1.23182,1.43802,0.68531,0.64182,0.69723,0.37441,1.6017,1.34898,1.65158,0.0005842,0.0005842,0.0005842
65,518.6,1.29519,1.25975,1.45417,0.6291,0.67975,0.69369,0.38992,1.53915,1.35181,1.6152,0.0005776,0.0005776,0.0005776
66,526.484,1.30573,1.25613,1.45843,0.63061,0.6621,0.68666,0.3688,1.56772,1.36218,1.66662,0.000571,0.000571,0.000571
67,534.374,1.28917,1.24752,1.4568,0.63942,0.68149,0.70661,0.37689,1.58885,1.31546,1.65144,0.0005644,0.0005644,0.0005644
68,542.235,1.28445,1.22308,1.43319,0.61672,0.65833,0.68456,0.37599,1.55248,1.3344,1.6377,0.0005578,0.0005578,0.0005578
69,550.125,1.28122,1.24108,1.44463,0.67174,0.65163,0.7039,0.38296,1.56501,1.3284,1.62245,0.0005512,0.0005512,0.0005512
70,558.141,1.26038,1.20559,1.42164,0.67492,0.67411,0.72644,0.39261,1.57953,1.29737,1.64543,0.0005446,0.0005446,0.0005446
71,566.005,1.24603,1.19751,1.42074,0.65643,0.66536,0.71401,0.39077,1.57026,1.2751,1.62455,0.000538,0.000538,0.000538
72,573.85,1.2681,1.19416,1.43386,0.6676,0.68807,0.71276,0.37246,1.60149,1.29556,1.6895,0.0005314,0.0005314,0.0005314
73,581.75,1.26988,1.22335,1.43427,0.60735,0.70234,0.6797,0.37261,1.59198,1.34126,1.6578,0.0005248,0.0005248,0.0005248
74,589.595,1.24808,1.18347,1.42599,0.6368,0.688,0.68809,0.3702,1.58373,1.31736,1.65654,0.0005182,0.0005182,0.0005182
75,597.472,1.25948,1.18335,1.42057,0.64568,0.68291,0.69765,0.37256,1.57603,1.30201,1.63701,0.0005116,0.0005116,0.0005116
76,605.31,1.25573,1.18706,1.42488,0.68989,0.70227,0.72106,0.3718,1.62205,1.31608,1.6829,0.000505,0.000505,0.000505
77,613.155,1.23602,1.15918,1.40995,0.66442,0.71212,0.73128,0.38413,1.60487,1.28445,1.67571,0.0004984,0.0004984,0.0004984
78,621.035,1.23859,1.17436,1.4252,0.67542,0.66774,0.69304,0.37788,1.55953,1.32189,1.64809,0.0004918,0.0004918,0.0004918
79,628.902,1.23916,1.16985,1.41301,0.65206,0.70361,0.71738,0.38548,1.56483,1.29332,1.65286,0.0004852,0.0004852,0.0004852
