epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.383,1.79804,3.30403,1.90073,0.27765,0.37812,0.24579,0.10056,2.08112,3.27884,2.12938,0.000329114,0.000329114,0.000329114
2,18.7517,1.6516,2.4065,1.7247,0.55238,0.22234,0.20771,0.08198,2.14338,3.81256,2.27052,0.000658075,0.000658075,0.000658075
3,26.7384,1.67404,2.28019,1.74144,0.55157,0.38939,0.37607,0.1778,1.84464,2.75821,1.96676,0.000982636,0.000982636,0.000982636
4,34.7887,1.65956,2.17906,1.72835,0.60785,0.36319,0.33476,0.15048,1.93488,2.60921,2.02782,0.0009802,0.0009802,0.0009802
5,42.7862,1.62735,2.06692,1.73027,0.45673,0.45053,0.4722,0.224,1.8342,2.36482,1.98339,0.0009736,0.0009736,0.0009736
6,50.9593,1.58867,1.95516,1.66433,0.43594,0.4975,0.44073,0.20205,1.88983,2.40218,1.94077,0.000967,0.000967,0.000967
7,58.858,1.59768,1.93664,1.68415,0.57863,0.39636,0.49412,0.23297,1.87041,2.11709,1.91469,0.0009604,0.0009604,0.0009604
8,66.947,1.55046,1.83707,1.63873,0.65734,0.49148,0.50075,0.23129,1.93248,2.07893,1.91526,0.0009538,0.0009538,0.0009538
9,74.8487,1.5635,1.84265,1.64111,0.5165,0.56945,0.55448,0.26609,1.7344,1.89591,1.77267,0.0009472,0.0009472,0.0009472
10,83.0105,1.51521,1.79282,1.62045,0.56681,0.58784,0.60219,0.29935,1.66009,1.72596,1.72924,0.0009406,0.0009406,0.0009406
11,90.9451,1.54817,1.78942,1.63804,0.45274,0.52317,0.51289,0.24503,1.77077,1.97714,1.88652,0.000934,0.000934,0.000934
12,98.8211,1.51091,1.74802,1.62058,0.52664,0.53185,0.5305,0.24078,1.82844,1.87272,1.85103,0.0009274,0.0009274,0.0009274
13,106.749,1.49185,1.69369,1.58816,0.63847,0.54846,0.63482,0.33535,1.56862,1.68222,1.67645,0.0009208,0.0009208,0.0009208
14,114.934,1.48175,1.66114,1.59564,0.50941,0.59454,0.58589,0.28763,1.72541,1.70278,1.78553,0.0009142,0.0009142,0.0009142
15,122.823,1.49822,1.69482,1.59773,0.65351,0.48053,0.58693,0.29153,1.69965,1.68065,1.75824,0.0009076,0.0009076,0.0009076
16,130.738,1.48566,1.67936,1.606,0.48633,0.63167,0.6269,0.31562,1.64023,1.67276,1.72331,0.000901,0.000901,0.000901
17,138.573,1.44812,1.62641,1.57451,0.53055,0.57922,0.60206,0.30987,1.66289,1.61181,1.71563,0.0008944,0.0008944,0.0008944
18,146.429,1.45158,1.58736,1.57358,0.64175,0.532,0.57793,0.28455,1.73352,1.69536,1.74337,0.0008878,0.0008878,0.0008878
19,154.436,1.46864,1.58912,1.57826,0.56673,0.6374,0.62904,0.3137,1.67358,1.64833,1.75853,0.0008812,0.0008812,0.0008812
20,162.288,1.43029,1.54842,1.56693,0.53803,0.55632,0.58118,0.28455,1.71337,1.66552,1.75789,0.0008746,0.0008746,0.0008746
21,170.126,1.44902,1.55616,1.58256,0.59246,0.6196,0.64645,0.34002,1.61027,1.52752,1.68566,0.000868,0.000868,0.000868
22,178.131,1.42995,1.51119,1.55207,0.54327,0.62819,0.63926,0.33292,1.60895,1.68355,1.69375,0.0008614,0.0008614,0.0008614
23,186.06,1.43018,1.55531,1.56254,0.57624,0.64266,0.64698,0.33559,1.63491,1.61297,1.7261,0.0008548,0.0008548,0.0008548
24,193.945,1.43806,1.54616,1.56431,0.52644,0.51785,0.57125,0.29835,1.69214,1.6514,1.74588,0.0008482,0.0008482,0.0008482
25,201.822,1.4461,1.51637,1.56687,0.69947,0.59931,0.65146,0.34639,1.5939,1.59136,1.6782,0.0008416,0.0008416,0.0008416
26,209.747,1.42221,1.49154,1.54866,0.66436,0.56534,0.62646,0.31222,1.72829,1.579,1.74353,0.000835,0.000835,0.000835
27,217.611,1.40491,1.51208,1.53557,0.70641,0.5822,0.64737,0.34748,1.6111,1.49925,1.68021,0.0008284,0.0008284,0.0008284
28,225.581,1.41916,1.5346,1.55874,0.57038,0.56598,0.60573,0.32511,1.61359,1.64595,1.72356,0.0008218,0.0008218,0.0008218
29,233.394,1.40677,1.50029,1.53658,0.69402,0.57566,0.65246,0.33017,1.63888,1.5305,1.68589,0.0008152,0.0008152,0.0008152
30,241.292,1.38627,1.45853,1.52637,0.59436,0.54219,0.62234,0.32597,1.67783,1.56152,1.76632,0.0008086,0.0008086,0.0008086
31,249.156,1.40816,1.4638,1.53993,0.57728,0.6556,0.66419,0.35299,1.56856,1.49536,1.69068,0.000802,0.000802,0.000802
32,257.137,1.39477,1.43956,1.53674,0.48843,0.61019,0.58658,0.30258,1.66546,1.64811,1.73576,0.0007954,0.0007954,0.0007954
33,265.147,1.39883,1.45456,1.54268,0.56669,0.639,0.64974,0.33007,1.61919,1.53762,1.69432,0.0007888,0.0007888,0.0007888
34,273.002,1.38294,1.43276,1.535,0.59646,0.63488,0.66419,0.35707,1.5719,1.44131,1.654,0.0007822,0.0007822,0.0007822
35,280.904,1.39776,1.43961,1.53202,0.58952,0.65934,0.67274,0.35571,1.61436,1.43879,1.67973,0.0007756,0.0007756,0.0007756
36,288.78,1.38702,1.4508,1.53512,0.52572,0.62583,0.63637,0.32791,1.59377,1.52812,1.65569,0.000769,0.000769,0.000769
37,296.613,1.3944,1.44712,1.53262,0.57991,0.62815,0.6527,0.32865,1.69796,1.52438,1.73445,0.0007624,0.0007624,0.0007624
38,304.483,1.38185,1.40827,1.51402,0.59704,0.65113,0.65992,0.36099,1.5691,1.42941,1.64756,0.0007558,0.0007558,0.0007558
39,312.423,1.38735,1.40988,1.53099,0.62535,0.62131,0.64658,0.34792,1.58926,1.48367,1.67616,0.0007492,0.0007492,0.0007492
40,320.296,1.38876,1.42326,1.53821,0.66499,0.5989,0.65098,0.33125,1.66194,1.57163,1.76155,0.0007426,0.0007426,0.0007426
41,328.146,1.38109,1.42078,1.5249,0.59043,0.60198,0.64664,0.35335,1.58057,1.53744,1.64939,0.000736,0.000736,0.000736
42,336.026,1.34029,1.38344,1.49952,0.63265,0.66037,0.69551,0.3631,1.55954,1.40406,1.63624,0.0007294,0.0007294,0.0007294
43,344.027,1.36444,1.40431,1.51332,0.61481,0.58788,0.64525,0.34577,1.59568,1.44715,1.69838,0.0007228,0.0007228,0.0007228
44,351.918,1.37495,1.40306,1.50941,0.59515,0.67058,0.67461,0.36948,1.55418,1.43283,1.66478,0.0007162,0.0007162,0.0007162
45,359.893,1.32852,1.34468,1.48648,0.63621,0.68002,0.69715,0.38171,1.53983,1.38378,1.62885,0.0007096,0.0007096,0.0007096
46,368.002,1.3458,1.32692,1.49069,0.61951,0.65862,0.6684,0.3573,1.6071,1.38665,1.66544,0.000703,0.000703,0.000703
47,375.913,1.33243,1.32875,1.4813,0.71585,0.60665,0.68735,0.3674,1.5958,1.41744,1.67638,0.0006964,0.0006964,0.0006964
48,383.762,1.32951,1.32333,1.48749,0.64584,0.65817,0.67096,0.3551,1.60913,1.43866,1.68791,0.0006898,0.0006898,0.0006898
49,391.636,1.34359,1.34171,1.4893,0.63273,0.65504,0.69131,0.36262,1.60422,1.35918,1.66811,0.0006832,0.0006832,0.0006832
50,399.522,1.3317,1.33018,1.47869,0.62459,0.61866,0.65712,0.34432,1.62953,1.43307,1.68808,0.0006766,0.0006766,0.0006766
51,407.382,1.33759,1.34841,1.49083,0.60738,0.68272,0.68492,0.36472,1.5851,1.41326,1.65605,0.00067,0.00067,0.00067
52,415.251,1.32994,1.32257,1.47418,0.59333,0.66059,0.69451,0.36955,1.56628,1.36544,1.63299,0.0006634,0.0006634,0.0006634
53,423.084,1.32151,1.28362,1.47017,0.72652,0.60583,0.68198,0.36632,1.54039,1.37585,1.62594,0.0006568,0.0006568,0.0006568
54,430.99,1.3164,1.2948,1.47101,0.68324,0.60715,0.67692,0.36079,1.57964,1.3924,1.67989,0.0006502,0.0006502,0.0006502
55,438.891,1.35414,1.34405,1.49691,0.65535,0.61292,0.67306,0.36228,1.58233,1.41123,1.67222,0.0006436,0.0006436,0.0006436
56,446.8,1.31951,1.30235,1.48583,0.64007,0.67368,0.69234,0.36906,1.58517,1.36388,1.65801,0.000637,0.000637,0.000637
57,454.678,1.32114,1.25933,1.4686,0.65088,0.63951,0.68728,0.37571,1.55703,1.35581,1.62935,0.0006304,0.0006304,0.0006304
