epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
43,556.223,1.78142,1.90249,0.03611,0.58608,0.44472,0.48315,0.20536,1.88184,1.93305,0.0432,0.0007228,0.0007228,0.0007228
44,569.682,1.76909,1.88762,0.0365,0.44176,0.47367,0.47223,0.20148,1.83343,1.99311,0.04277,0.0007162,0.0007162,0.0007162
45,582.132,1.77528,1.84679,0.03625,0.42561,0.49667,0.47466,0.20913,1.8812,1.89764,0.04342,0.0007096,0.0007096,0.0007096
46,595.254,1.78546,1.82964,0.03617,0.48336,0.4987,0.50255,0.21869,1.84272,1.89702,0.04347,0.000703,0.000703,0.000703
47,607.64,1.74443,1.79382,0.03593,0.45307,0.45059,0.49413,0.22249,1.75179,1.85309,0.04041,0.0006964,0.0006964,0.0006964
48,619.86,1.75101,1.81378,0.03569,0.47048,0.50492,0.52562,0.23376,1.76846,1.86718,0.0409,0.0006898,0.0006898,0.0006898
49,632.939,1.73758,1.80829,0.03574,0.399,0.47583,0.45168,0.19195,1.83876,1.97942,0.04273,0.0006832,0.0006832,0.0006832
50,644.957,1.74464,1.7994,0.0354,0.65596,0.4658,0.52878,0.23082,1.874,1.83064,0.04408,0.0006766,0.0006766,0.0006766
51,658.056,1.73314,1.78405,0.03578,0.52678,0.50675,0.517,0.23057,1.84487,1.80908,0.04283,0.00067,0.00067,0.00067
52,671.248,1.72379,1.75686,0.03416,0.56009,0.47458,0.52501,0.23701,1.75552,1.81122,0.04045,0.0006634,0.0006634,0.0006634
53,683.97,1.71476,1.72346,0.03477,0.48392,0.51143,0.50242,0.21609,1.87468,1.83726,0.04344,0.0006568,0.0006568,0.0006568
54,697.697,1.70713,1.72931,0.0342,0.4845,0.51929,0.52851,0.23269,1.76615,1.7585,0.04005,0.0006502,0.0006502,0.0006502
55,711.097,1.72238,1.72294,0.03509,0.45963,0.50281,0.51018,0.23226,1.78844,1.7631,0.04119,0.0006436,0.0006436,0.0006436
56,725.059,1.7198,1.70645,0.03489,0.52658,0.51573,0.5268,0.23257,1.86364,1.78675,0.04218,0.000637,0.000637,0.000637
57,737.601,1.73196,1.68535,0.03491,0.45703,0.52169,0.52464,0.24318,1.77339,1.774,0.04108,0.0006304,0.0006304,0.0006304
58,749.852,1.73846,1.66779,0.03507,0.46502,0.48133,0.50004,0.23562,1.77385,1.86207,0.04053,0.0006238,0.0006238,0.0006238
59,763.539,1.70208,1.67186,0.03417,0.48367,0.5264,0.5599,0.25625,1.79837,1.6745,0.04054,0.0006172,0.0006172,0.0006172
60,776.943,1.69544,1.66105,0.0341,0.50653,0.57185,0.56067,0.25793,1.8011,1.70452,0.04045,0.0006106,0.0006106,0.0006106
61,789.992,1.69459,1.6297,0.03431,0.54597,0.53245,0.56806,0.25629,1.7948,1.70659,0.04036,0.000604,0.000604,0.000604
62,802.871,1.70582,1.66112,0.03369,0.48484,0.5758,0.55803,0.25978,1.76104,1.67025,0.03943,0.0005974,0.0005974,0.0005974
63,815.346,1.67873,1.62912,0.0336,0.50882,0.57057,0.56792,0.26475,1.76529,1.63816,0.03936,0.0005908,0.0005908,0.0005908
64,828.414,1.67843,1.62053,0.03341,0.53642,0.55752,0.57088,0.26038,1.77881,1.63532,0.04006,0.0005842,0.0005842,0.0005842
65,840.546,1.68553,1.60356,0.03355,0.53416,0.5268,0.53914,0.25278,1.73047,1.70823,0.03844,0.0005776,0.0005776,0.0005776
66,852.728,1.6574,1.61533,0.03236,0.54901,0.52955,0.56875,0.2606,1.70877,1.65614,0.03851,0.000571,0.000571,0.000571
67,865.757,1.65758,1.60951,0.03271,0.5372,0.56257,0.58089,0.27316,1.73162,1.63575,0.03864,0.0005644,0.0005644,0.0005644
68,878.086,1.65744,1.57475,0.03297,0.54938,0.57175,0.59287,0.27442,1.76,1.61546,0.03958,0.0005578,0.0005578,0.0005578
